,Open_TES
2023-08-02,30336.86182721694
2023-08-03,30404.562157322624
2023-08-04,30830.792579350742
2023-08-05,30415.838299230178
2023-08-06,30117.64061453377
2023-08-07,29641.553023570934
2023-08-08,29768.254614864956
2023-08-09,30134.656926375115
2023-08-10,30192.511766084972
2023-08-11,30447.677226142892
2023-08-12,30866.826863492748
2023-08-13,31127.446394028084
2023-08-14,31417.914856039177
2023-08-15,31842.703292964223
2023-08-16,31878.836619025926
2023-08-17,32024.512318742156
2023-08-18,31750.1437757213
2023-08-19,31823.961932515642
2023-08-20,31318.798271356773
2023-08-21,31625.571997976756
2023-08-22,31669.265336981938
2023-08-23,31124.370676179326
2023-08-24,31789.4795945659
2023-08-25,31604.69465728737
2023-08-26,32163.06619431638
2023-08-27,32212.703310727728
2023-08-28,32006.279623493236
2023-08-29,32074.765843029418
2023-08-30,31493.46710501939
2023-08-31,31785.89107088485
2023-09-01,31942.069999975385
2023-09-02,32009.77033008107
2023-09-03,32436.000752109187
2023-09-04,32021.046471988622
2023-09-05,31722.848787292216
2023-09-06,31246.76119632938
2023-09-07,31373.462787623404
2023-09-08,31739.86509913356
2023-09-09,31797.719938843416
2023-09-10,32052.885398901337
2023-09-11,32472.035036251196
2023-09-12,32732.65456678653
2023-09-13,33023.12302879762
2023-09-14,33447.91146572267
2023-09-15,33484.04479178437
2023-09-16,33629.72049150059
2023-09-17,33355.35194847974
2023-09-18,33429.17010527408
2023-09-19,32924.00644411521
2023-09-20,33230.7801707352
2023-09-21,33274.47350974038
2023-09-22,32729.57884893777
2023-09-23,33394.68776732434
2023-09-24,33209.902830045816
2023-09-25,33768.274367074824
2023-09-26,33817.91148348617
2023-09-27,33611.487796251684
2023-09-28,33679.97401578786
2023-09-29,33098.67527777784
2023-09-30,33391.09924364329
2023-10-01,33547.27817273383
2023-10-02,33614.97850283951
2023-10-03,34041.20892486763
2023-10-04,33626.254644747074
2023-10-05,33328.05696005066
2023-10-06,32851.96936908782
2023-10-07,32978.670960381845
2023-10-08,33345.073271892004
2023-10-09,33402.92811160186
2023-10-10,33658.09357165978
2023-10-11,34077.24320900963
2023-10-12,34337.86273954497
2023-10-13,34628.331201556066
2023-10-14,35053.11963848111
2023-10-15,35089.252964542815
2023-10-16,35234.92866425904
2023-10-17,34960.56012123819
2023-10-18,35034.37827803253
2023-10-19,34529.214616873665
2023-10-20,34835.98834349364
2023-10-21,34879.68168249883
2023-10-22,34334.78702169621
2023-10-23,34999.89594008279
2023-10-24,34815.11100280426
2023-10-25,35373.48253983327
2023-10-26,35423.11965624461
2023-10-27,35216.69596901013
2023-10-28,35285.18218854631
2023-10-29,34703.883450536276
2023-10-30,34996.30741640174
2023-10-31,35152.48634549228
2023-11-01,35220.18667559796
2023-11-02,35646.41709762607
2023-11-03,35231.46281750552
2023-11-04,34933.2651328091
2023-11-05,34457.177541846264
2023-11-06,34583.87913314029
2023-11-07,34950.28144465045
2023-11-08,35008.136284360306
2023-11-09,35263.301744418226
2023-11-10,35682.451381768085
2023-11-11,35943.07091230342
2023-11-12,36233.53937431451
2023-11-13,36658.32781123956
2023-11-14,36694.46113730126
2023-11-15,36840.13683701748
2023-11-16,36565.76829399663
2023-11-17,36639.58645079097
2023-11-18,36134.42278963211
2023-11-19,36441.19651625209
2023-11-20,36484.88985525728
2023-11-21,35939.995194454656
2023-11-22,36605.10411284123
2023-11-23,36420.319175562705
2023-11-24,36978.69071259171
2023-11-25,37028.32782900306
2023-11-26,36821.90414176857
2023-11-27,36890.39036130475
2023-11-28,36309.09162329473
2023-11-29,36601.51558916018
2023-11-30,36757.694518250726
2023-12-01,36825.3948483564
2023-12-02,37251.62527038452
2023-12-03,36836.67099026396
2023-12-04,36538.473305567546
2023-12-05,36062.38571460471
2023-12-06,36189.087305898734
2023-12-07,36555.48961740889
2023-12-08,36613.34445711875
2023-12-09,36868.50991717667
2023-12-10,37287.65955452653
2023-12-11,37548.27908506186
2023-12-12,37838.747547072955
2023-12-13,38263.535983998
2023-12-14,38299.669310059704
2023-12-15,38445.34500977593
2023-12-16,38170.97646675508
2023-12-17,38244.79462354942
2023-12-18,37739.630962390554
2023-12-19,38046.40468901053
2023-12-20,38090.098028015724
2023-12-21,37545.2033672131
2023-12-22,38210.31228559968
2023-12-23,38025.52734832115
2023-12-24,38583.89888535016
2023-12-25,38633.5360017615
2023-12-26,38427.11231452702
2023-12-27,38495.598534063196
2023-12-28,37914.29979605317
2023-12-29,38206.72376191863
2023-12-30,38362.90269100917
2023-12-31,38430.603021114846
