Tanggal,Open_interpolated
2024-11-21,-895925.1967222204
2024-11-22,-895842.7049688202
2024-11-23,-895774.4552480907
2024-11-24,-894907.7097757908
2024-11-25,-885296.4764450374
2024-11-26,-883429.9302526773
2024-11-27,-882140.6191049782
2024-11-28,-881204.5474409849
2024-11-29,-879894.2204167548
2024-11-30,-879295.7383227947
2024-12-01,-880765.9899718916
2024-12-02,-882924.1320015803
2024-12-03,-885137.5189710344
2024-12-04,-888689.2849775065
2024-12-05,-892879.5998788978
2024-12-06,-899273.7166286511
2024-12-07,-904580.2239313537
2024-12-08,-910082.014727414
2024-12-09,-916990.8707706128
2024-12-10,-924021.6253570741
2024-12-11,-931570.3958318852
2024-12-12,-939276.2687224386
2024-12-13,-945695.6462595176
2024-12-14,-952569.5936918227
2024-12-15,-958310.800089137
2024-12-16,-964645.2481222396
2024-12-17,-969128.9403066293
2024-12-18,-973592.4222632905
2024-12-19,-977167.439090064
2024-12-20,-979236.4894824282
2024-12-21,-981370.0644378277
2024-12-22,-981287.5726844276
2024-12-23,-981219.3229636981
2024-12-24,-980352.5774913981
2024-12-25,-970741.3441606448
2024-12-26,-968874.7979682846
2024-12-27,-967585.4868205854
2024-12-28,-966649.4151565923
2024-12-29,-965339.0881323621
2024-12-30,-964740.606038402
2024-12-31,-966210.8576874989
