,Open_ARIMA
2023-11-25,32694.92653485621
2023-11-26,32713.23240922649
2023-11-27,32731.425896157438
2023-11-28,32749.507685642675
2023-11-29,32767.47846343966
2023-11-30,32785.3389110957
2023-12-01,32803.0897059738
2023-12-02,32820.73152127834
2023-12-03,32838.26502608064
2023-12-04,32855.69088534427
2023-12-05,32873.00975995035
2023-12-06,32890.22230672254
2023-12-07,32907.329178452026
2023-12-08,32924.33102392218
2023-12-09,32941.22848793328
2023-12-10,32958.022211326854
2023-12-11,32974.71283101007
2023-12-12,32991.30097997983
2023-12-13,33007.78728734683
2023-12-14,33024.17237835936
2023-12-15,33040.45687442708
2023-12-16,33056.64139314453
2023-12-17,33072.72654831459
2023-12-18,33088.712949971756
2023-12-19,33104.60120440525
2023-12-20,33120.39191418203
2023-12-21,33136.08567816965
2023-12-22,33151.683091558974
2023-12-23,33167.18474588672
2023-12-24,33182.59122905793
2023-12-25,33197.90312536824
2023-12-26,33213.121015526056
2023-12-27,33228.245476674565
2023-12-28,33243.27708241364
2023-12-29,33258.21640282158
2023-12-30,33273.06400447672
2023-12-31,33287.82045047897
