,Close_TES
2023-10-16,34064.41616252227
2023-10-17,34334.32913147447
2023-10-18,34500.801763293886
2023-10-19,35398.14724002126
2023-10-20,35720.76198589344
2023-10-21,35626.15721632431
2023-10-22,35934.99218902278
2023-10-23,35695.537506189605
2023-10-24,36239.150199997624
2023-10-25,36642.24113249627
2023-10-26,36889.210908050925
2023-10-27,37089.77728794491
2023-10-28,36690.82214990909
2023-10-29,36672.4772093492
2023-10-30,36644.588236431555
2023-10-31,36766.202429241275
2023-11-01,37131.26291269975
2023-11-02,36951.502886274524
2023-11-03,36788.00486784501
2023-11-04,36301.12484940097
2023-11-05,36195.44017927607
2023-11-06,36133.477789060365
2023-11-07,35999.40167675864
2023-11-08,36176.94625803809
2023-11-09,36297.76494632215
2023-11-10,36329.76131717268
2023-11-11,36469.85531933781
2023-11-12,36900.79225365486
2023-11-13,36490.537278804084
2023-11-14,36418.867616485564
2023-11-15,35959.567812879955
2023-11-16,36229.48078183215
2023-11-17,36395.953413651565
2023-11-18,37293.298890378945
2023-11-19,37615.91363625113
2023-11-20,37521.30886668199
2023-11-21,37830.143839380464
2023-11-22,37590.68915654729
2023-11-23,38134.30185035531
2023-11-24,38537.39278285395
2023-11-25,38784.36255840861
2023-11-26,38984.92893830259
2023-11-27,38585.97380026677
2023-11-28,38567.628859706885
2023-11-29,38539.73988678923
2023-11-30,38661.354079598954
2023-12-01,39026.414563057435
2023-12-02,38846.65453663221
2023-12-03,38683.1565182027
2023-12-04,38196.27649975866
2023-12-05,38090.59182963375
2023-12-06,38028.629439418044
2023-12-07,37894.55332711633
2023-12-08,38072.09790839578
2023-12-09,38192.91659667983
2023-12-10,38224.91296753036
2023-12-11,38365.006969695496
2023-12-12,38795.94390401254
2023-12-13,38385.68892916177
2023-12-14,38314.01926684325
2023-12-15,37854.719463237634
2023-12-16,38124.632432189836
2023-12-17,38291.10506400925
2023-12-18,39188.45054073662
2023-12-19,39511.065286608806
2023-12-20,39416.460517039675
2023-12-21,39725.29548973815
2023-12-22,39485.84080690498
2023-12-23,40029.453500712996
2023-12-24,40432.54443321163
2023-12-25,40679.51420876629
2023-12-26,40880.080588660276
2023-12-27,40481.12545062446
2023-12-28,40462.780510064564
2023-12-29,40434.89153714692
2023-12-30,40556.50572995664
2023-12-31,40921.56621341512
