,High_TES
2023-10-15,36902.326749607935
2023-10-16,36817.495142972475
2023-10-17,36593.42256489655
2023-10-18,36517.06429488817
2023-10-19,36224.086243409736
2023-10-20,36258.3028153731
2023-10-21,35961.18928773391
2023-10-22,35622.78649543083
2023-10-23,35976.46645007307
2023-10-24,35566.19321916828
2023-10-25,35520.9024045368
2023-10-26,35509.88608296633
2023-10-27,35621.34093112973
2023-10-28,35233.07174382541
2023-10-29,34965.92438969942
2023-10-30,35154.767826001196
2023-10-31,35275.47198122647
2023-11-01,35585.52326109093
2023-11-02,35574.901825983194
2023-11-03,35236.32265826415
2023-11-04,35087.52419707389
2023-11-05,34782.13508485792
2023-11-06,35630.37415882896
2023-11-07,35779.2825447482
2023-11-08,36093.86124719718
2023-11-09,36784.866707397174
2023-11-10,37237.15429769839
2023-11-11,37686.12903029599
2023-11-12,38105.89459377823
2023-11-13,38440.13030455281
2023-11-14,38733.698894528876
2023-11-15,38648.86728789342
2023-11-16,38424.79470981749
2023-11-17,38348.43643980911
2023-11-18,38055.458388330684
2023-11-19,38089.67496029404
2023-11-20,37792.56143265485
2023-11-21,37454.15864035177
2023-11-22,37807.83859499401
2023-11-23,37397.56536408923
2023-11-24,37352.27454945774
2023-11-25,37341.25822788727
2023-11-26,37452.71307605067
2023-11-27,37064.44388874635
2023-11-28,36797.29653462037
2023-11-29,36986.139970922144
2023-11-30,37106.84412614741
2023-12-01,37416.89540601187
2023-12-02,37406.273970904134
2023-12-03,37067.69480318509
2023-12-04,36918.89634199484
2023-12-05,36613.50722977886
2023-12-06,37461.746303749904
2023-12-07,37610.65468966914
2023-12-08,37925.23339211813
2023-12-09,38616.238852318114
2023-12-10,39068.52644261933
2023-12-11,39517.50117521693
2023-12-12,39937.266738699174
2023-12-13,40271.50244947375
2023-12-14,40565.071039449824
2023-12-15,40480.239432814364
2023-12-16,40256.16685473843
2023-12-17,40179.80858473005
2023-12-18,39886.83053325163
2023-12-19,39921.04710521498
2023-12-20,39623.93357757579
2023-12-21,39285.53078527271
2023-12-22,39639.21073991496
2023-12-23,39228.93750901017
2023-12-24,39183.64669437868
2023-12-25,39172.63037280821
2023-12-26,39284.08522097161
2023-12-27,38895.816033667295
2023-12-28,38628.66867954131
2023-12-29,38817.512115843085
2023-12-30,38938.21627106835
2023-12-31,39248.26755093281
