Tanggal,High_interpolated
2024-03-19,25618.128916510497
2024-03-20,25298.503388660578
2024-03-21,25675.608160237334
2024-03-22,25404.720680826802
2024-03-23,25443.67708209622
2024-03-24,25052.46682556157
2024-03-25,24742.487039061376
2024-03-26,24647.931678110577
2024-03-27,24790.110097017732
2024-03-28,24274.86147437349
2024-03-29,23842.12762614487
2024-03-30,24552.30705004523
2024-03-31,24555.496446781577
2024-04-01,24089.58580534051
2024-04-02,24777.320966845014
2024-04-03,25072.53006027072
2024-04-04,24056.01414662478
2024-04-05,23259.70820171304
2024-04-06,22816.0170010458
2024-04-07,22317.077688847832
2024-04-08,21357.662450449177
2024-04-09,20610.788587648658
2024-04-10,19201.19612335905
2024-04-11,19720.97572460147
2024-04-12,19241.6430557937
2024-04-13,19364.28769512465
2024-04-14,18831.404974920843
2024-04-15,18286.49716906533
2024-04-16,18423.73863926494
2024-04-17,18940.295226758823
2024-04-18,19339.98280329053
2024-04-19,19020.357275440612
2024-04-20,19397.46204701737
2024-04-21,19126.574567606836
2024-04-22,19165.530968876254
2024-04-23,18774.320712341603
2024-04-24,18464.340925841407
2024-04-25,18369.785564890608
2024-04-26,18511.963983797767
2024-04-27,17996.715361153525
2024-04-28,17563.981512924904
2024-04-29,18274.160936825265
2024-04-30,18277.35033356161
2024-05-01,17811.439692120544
2024-05-02,18499.17485362505
2024-05-03,18794.383947050752
2024-05-04,17777.86803340481
2024-05-05,16981.562088493072
2024-05-06,16537.870887825833
2024-05-07,16038.931575627867
2024-05-08,15079.516337229212
2024-05-09,14332.642474428692
2024-05-10,12923.050010139083
2024-05-11,13442.829611381507
2024-05-12,12963.496942573727
2024-05-13,13086.141581904682
2024-05-14,12553.258861700873
2024-05-15,12008.351055845364
2024-05-16,12145.592526044971
2024-05-17,12662.149113538855
2024-05-18,13061.836690070566
2024-05-19,12742.211162220645
2024-05-20,13119.315933797403
2024-05-21,12848.428454386867
2024-05-22,12887.384855656286
2024-05-23,12496.174599121634
2024-05-24,12186.194812621441
2024-05-25,12091.639451670642
2024-05-26,12233.817870577801
2024-05-27,11718.56924793356
2024-05-28,11285.835399704938
2024-05-29,11996.014823605301
2024-05-30,11999.20422034164
2024-05-31,11533.293578900575
2024-06-01,12221.02874040508
2024-06-02,12516.237833830786
2024-06-03,11499.721920184846
2024-06-04,10703.415975273108
2024-06-05,10259.724774605867
2024-06-06,9760.785462407897
2024-06-07,8801.370224009246
2024-06-08,8054.496361208722
2024-06-09,6644.903896919118
2024-06-10,7164.6834981615375
2024-06-11,6685.350829353765
2024-06-12,6807.995468684715
2024-06-13,6275.112748480903
2024-06-14,5730.204942625397
2024-06-15,5867.446412825002
2024-06-16,6384.0030003188895
2024-06-17,6783.690576850597
2024-06-18,6464.065049000679
2024-06-19,6841.169820577435
2024-06-20,6570.282341166906
2024-06-21,6609.2387424363205
2024-06-22,6218.028485901665
2024-06-23,5908.048699401475
2024-06-24,5813.493338450673
2024-06-25,5955.671757357835
2024-06-26,5440.423134713591
2024-06-27,5007.6892864849715
2024-06-28,5717.868710385332
2024-06-29,5721.058107121678
2024-06-30,5255.1474656806095
2024-07-01,5942.882627185109
2024-07-02,6238.09172061082
2024-07-03,5221.575806964876
2024-07-04,4425.269862053143
2024-07-05,3981.5786613858977
2024-07-06,3482.6393491879353
2024-07-07,2523.224110789277
2024-07-08,1776.3502479887607
2024-07-09,366.7577836991484
2024-07-10,886.5373849415754
2024-07-11,407.2047161337964
2024-07-12,529.8493554647457
2024-07-13,-3.033364739058925
2024-07-14,-547.9411705945722
2024-07-15,-410.6997003949598
2024-07-16,105.85688709892031
2024-07-17,505.5444636306346
2024-07-18,185.91893578071023
2024-07-19,563.0237073574725
2024-07-20,292.13622794693674
2024-07-21,331.0926292163508
2024-07-22,-60.117627318297195
2024-07-23,-370.0974138184946
2024-07-24,-464.65277476928895
2024-07-25,-322.4743558621335
2024-07-26,-837.7229785063712
2024-07-27,-1270.4568267349978
2024-07-28,-560.2774028346305
2024-07-29,-557.0880060982904
2024-07-30,-1022.9986475393603
2024-07-31,-335.2634860348526
2024-08-01,-40.054392609149545
2024-08-02,-1056.5703062550856
2024-08-03,-1852.876251166827
2024-08-04,-2296.5674518340643
2024-08-05,-2795.506764032034
2024-08-06,-3754.922002430685
2024-08-07,-4501.795865231209
2024-08-08,-5911.388329520821
2024-08-09,-5391.608728278394
2024-08-10,-5870.941397086173
2024-08-11,-5748.296757755216
2024-08-12,-6281.179477959028
2024-08-13,-6826.087283814534
2024-08-14,-6688.845813614929
2024-08-15,-6172.289226121042
2024-08-16,-5772.601649589335
2024-08-17,-6092.227177439259
2024-08-18,-5715.122405862497
2024-08-19,-5986.0098852730325
2024-08-20,-5947.053484003611
2024-08-21,-6338.263740538267
2024-08-22,-6648.243527038457
2024-08-23,-6742.798887989258
2024-08-24,-6600.620469082096
2024-08-25,-7115.86909172634
2024-08-26,-7548.602939954967
2024-08-27,-6838.4235160545995
2024-08-28,-6835.23411931826
2024-08-29,-7301.144760759322
2024-08-30,-6613.409599254822
2024-08-31,-6318.2005058291115
2024-09-01,-7334.716419475055
2024-09-02,-8131.0223643867885
2024-09-03,-8574.713565054033
2024-09-04,-9073.652877252003
2024-09-05,-10033.068115650654
2024-09-06,-10779.941978451177
2024-09-07,-12189.534442740784
2024-09-08,-11669.754841498363
2024-09-09,-12149.087510306135
2024-09-10,-12026.442870975185
2024-09-11,-12559.32559117899
2024-09-12,-13104.233397034503
2024-09-13,-12966.991926834899
2024-09-14,-12450.435339341011
2024-09-15,-12050.747762809304
2024-09-16,-12370.373290659221
2024-09-17,-11993.268519082467
2024-09-18,-12264.155998492995
2024-09-19,-12225.19959722358
2024-09-20,-12616.409853758229
2024-09-21,-12926.389640258425
2024-09-22,-13020.945001209227
2024-09-23,-12878.766582302065
2024-09-24,-13394.01520494631
2024-09-25,-13826.749053174928
2024-09-26,-13116.569629274569
2024-09-27,-13113.380232538222
2024-09-28,-13579.290873979291
2024-09-29,-12891.555712474783
2024-09-30,-12596.34661904908
2024-10-01,-13612.862532695024
2024-10-02,-14409.168477606758
2024-10-03,-14852.859678274002
2024-10-04,-15351.798990471965
2024-10-05,-16311.214228870624
2024-10-06,-17058.08809167114
2024-10-07,-18467.680555960753
2024-10-08,-17947.900954718327
2024-10-09,-18427.233623526103
2024-10-10,-18304.588984195154
2024-10-11,-18837.47170439896
2024-10-12,-19382.379510254472
2024-10-13,-19245.13804005486
2024-10-14,-18728.58145256098
2024-10-15,-18328.893876029266
2024-10-16,-18648.51940387919
2024-10-17,-18271.41463230243
2024-10-18,-18542.302111712965
2024-10-19,-18503.34571044355
2024-10-20,-18894.555966978198
2024-10-21,-19204.535753478394
2024-10-22,-19299.09111442919
2024-10-23,-19156.912695522034
2024-10-24,-19672.161318166272
2024-10-25,-20104.895166394897
2024-10-26,-19394.715742494533
2024-10-27,-19391.52634575819
2024-10-28,-19857.43698719926
2024-10-29,-19169.701825694752
2024-10-30,-18874.49273226905
2024-10-31,-19891.008645914986
2024-11-01,-20687.31459082673
2024-11-02,-21131.005791493964
2024-11-03,-21629.945103691934
2024-11-04,-22589.360342090586
2024-11-05,-23336.23420489111
2024-11-06,-24745.826669180722
2024-11-07,-24226.047067938296
2024-11-08,-24705.379736746072
2024-11-09,-24582.735097415116
2024-11-10,-25115.61781761892
2024-11-11,-25660.52562347444
2024-11-12,-25523.284153274828
2024-11-13,-25006.72756578094
2024-11-14,-24607.039989249228
2024-11-15,-24926.665517099158
2024-11-16,-24549.560745522398
2024-11-17,-24820.448224932927
2024-11-18,-24781.49182366352
2024-11-19,-25172.702080198167
2024-11-20,-25482.681866698356
2024-11-21,-25577.23722764915
2024-11-22,-25435.058808742004
2024-11-23,-25950.30743138624
2024-11-24,-26383.04127961486
2024-11-25,-25672.86185571451
2024-11-26,-25669.67245897816
2024-11-27,-26135.583100419222
2024-11-28,-25447.847938914714
2024-11-29,-25152.63884548902
2024-11-30,-26169.154759134955
2024-12-01,-26965.46070404669
2024-12-02,-27409.151904713926
2024-12-03,-27908.091216911904
2024-12-04,-28867.506455310555
2024-12-05,-29614.38031811107
2024-12-06,-31023.97278240069
2024-12-07,-30504.193181158265
2024-12-08,-30983.525849966034
2024-12-09,-30860.881210635078
2024-12-10,-31393.763930838897
2024-12-11,-31938.671736694403
2024-12-12,-31801.43026649479
2024-12-13,-31284.873679000917
2024-12-14,-30885.186102469204
2024-12-15,-31204.81163031912
2024-12-16,-30827.70685874236
2024-12-17,-31098.594338152903
2024-12-18,-31059.637936883482
2024-12-19,-31450.84819341813
2024-12-20,-31760.82797991832
2024-12-21,-31855.383340869128
2024-12-22,-31713.204921961966
2024-12-23,-32228.453544606204
2024-12-24,-32661.187392834836
2024-12-25,-31951.00796893447
2024-12-26,-31947.81857219812
2024-12-27,-32413.729213639184
2024-12-28,-31725.99405213469
2024-12-29,-31430.78495870898
2024-12-30,-32447.300872354917
2024-12-31,-33243.606817266664
