Tanggal,Low_interpolated
2024-04-17,37918.7974924896
2024-04-18,37892.93243980442
2024-04-19,37867.23609385156
2024-04-20,37841.70734869028
2024-04-21,37816.34511595902
2024-04-22,37791.14830542838
2024-04-23,37766.11584173633
2024-04-24,37741.24664982535
2024-04-25,37716.53966745383
2024-04-26,37691.99383428807
2024-04-27,37667.60810125322
2024-04-28,37643.38142236031
2024-04-29,37619.31276169239
2024-04-30,37595.401087278246
2024-05-01,37571.64537630924
2024-05-02,37548.04461054457
2024-05-03,37524.59778020437
2024-05-04,37501.303880521096
2024-05-05,37478.161914642245
2024-05-06,37455.17089103953
2024-05-07,37432.32982567061
2024-05-08,37409.63774003029
2024-05-09,37387.093662757914
2024-05-10,37364.6966281691
2024-05-11,37342.44567744849
2024-05-12,37320.33985754117
2024-05-13,37298.378222035266
2024-05-14,37276.559830322665
2024-05-15,37254.88374824969
2024-05-16,37233.34904747937
2024-05-17,37211.95480596877
2024-05-18,37190.70010748221
2024-05-19,37169.58404193894
2024-05-20,37148.605705039496
2024-05-21,37127.76419851646
2024-05-22,37107.0586298456
2024-05-23,37086.48811242425
2024-05-24,37066.05176534597
2024-05-25,37045.74871352491
2024-05-26,37025.57808751814
2024-05-27,37005.539023609665
2024-05-28,36985.63066366858
2024-05-29,36965.85215520303
2024-05-30,36946.202651245236
2024-05-31,36926.68131038311
2024-06-01,36907.28729666548
2024-06-02,36888.01977961714
2024-06-03,36868.877934159296
2024-06-04,36849.860940612256
2024-06-05,36830.96798462748
2024-06-06,36812.198257181124
2024-06-07,36793.55095451479
2024-06-08,36775.02527812238
2024-06-09,36756.620434697565
2024-06-10,36738.33563611563
2024-06-11,36720.170099386036
2024-06-12,36702.12304663076
2024-06-13,36684.19370504069
2024-06-14,36666.38130685148
2024-06-15,36648.68508930289
2024-06-16,36631.104294612865
2024-06-17,36613.63816993927
2024-06-18,36596.28596735267
2024-06-19,36579.04694379997
2024-06-20,36561.92036107633
2024-06-21,36544.90548579033
2024-06-22,36528.00158933536
2024-06-23,36511.20794785601
2024-06-24,36494.523842219125
2024-06-25,36477.94855798125
2024-06-26,36461.4813853596
2024-06-27,36445.12161920025
2024-06-28,36428.86855894918
2024-06-29,36412.721508621245
2024-06-30,36396.67977677123
2024-07-01,36380.74267646347
2024-07-02,36364.90952524316
2024-07-03,36349.17964510647
